City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
souillac,75,MU,1619395665,88,-20.5167,57.5167,77.0,14.97
vaini,75,TO,1619395666,83,-21.2,-175.2,80.6,6.91
ushuaia,75,AR,1619395666,71,-54.8,-68.3,48.2,20.71
nanortalik,100,GL,1619395667,85,60.1432,-45.2371,39.25,7.7
cherskiy,95,RU,1619395667,83,68.75,161.3,17.42,6.22
punta arenas,75,CL,1619395667,87,-53.15,-70.9167,48.2,10.36
dicabisagan,59,PH,1619395668,76,17.0818,122.4157,77.86,5.46
atar,0,MR,1619395668,19,20.5169,-13.0499,78.49,3.69
albany,90,AU,1619395669,100,-35.0169,117.8917,55.4,1.14
cap-aux-meules,76,CA,1619395503,81,47.3821,-61.8597,41.0,11.5
jamestown,9,SH,1619395669,76,-15.9387,-5.7168,69.98,17.22
shingu,20,JP,1619395670,35,33.7333,135.9833,55.4,21.85
akyab,9,MM,1619395671,80,20.15,92.9,81.1,2.51
ilulissat,20,GL,1619395671,46,69.2167,-51.1,48.2,19.57
huarmey,12,PE,1619395672,84,-10.0681,-78.1522,68.09,8.19
bredasdorp,100,ZA,1619395672,94,-34.5322,20.0403,53.6,2.3
quatre cocos,75,MU,1619395673,88,-20.2078,57.7625,77.0,14.97
karratha,0,AU,1619395531,42,-20.7377,116.8463,78.89,9.1
castro,90,CL,1619395673,87,-42.4721,-73.7732,54.0,4.61
karpathos,46,GR,1619395674,77,35.507,27.2132,60.8,39.12
kavieng,99,PG,1619395433,71,-2.5744,150.7967,82.87,2.95
ribas do rio pardo,98,BR,1619395674,83,-20.4431,-53.7592,69.93,5.21
port elizabeth,0,ZA,1619395675,88,-33.918,25.5701,59.0,8.05
evensk,100,RU,1619395675,88,61.95,159.2333,25.83,6.87
paamiut,100,GL,1619395447,96,61.994,-49.6678,36.36,7.18
faanui,20,PF,1619395676,65,-16.4833,-151.75,81.12,3.06
kapaa,40,US,1619395676,73,22.0752,-159.319,79.0,12.66
barrow,1,US,1619395588,79,71.2906,-156.7887,21.2,20.71
port-gentil,1,GA,1619395677,80,-0.7193,8.7815,81.93,10.2
roebourne,0,AU,1619395677,40,-20.7833,117.1333,78.84,9.98
suez,0,EG,1619395678,51,29.9737,32.5263,65.73,5.32
nouakchott,0,MR,1619395678,83,18.0858,-15.9785,68.0,12.66
bluff,90,NZ,1619395679,90,-46.6,168.3333,46.99,8.99
port alfred,100,ZA,1619395414,56,-33.5906,26.891,70.63,11.83
tubuala,20,PA,1619395679,55,9.5167,-79.0333,87.8,9.22
ancud,90,CL,1619395680,87,-41.8697,-73.8203,54.0,4.61
georgiyevka,0,KZ,1619395680,87,43.0369,74.7114,46.4,4.47
rikitea,86,PF,1619395681,75,-23.1203,-134.9692,77.97,5.95
lebu,1,CL,1619395681,91,-37.6167,-73.65,55.33,9.78
narsaq,75,GL,1619395681,32,60.9167,-46.05,50.0,44.87
leh,2,IN,1619395682,36,34.1667,77.5833,29.59,2.84
altay,29,CN,1619395548,32,47.8667,88.1167,30.2,7.29
dikson,100,RU,1619395683,94,73.5069,80.5464,17.42,12.68
gainesville,1,US,1619395665,50,29.6516,-82.3248,75.2,6.91
kantang,40,TH,1619395684,100,7.4054,99.5156,75.2,2.77
tortoli,0,IT,1619395684,82,39.9256,9.6572,57.2,4.61
dubbo,0,AU,1619395571,62,-32.25,148.6167,57.2,6.91
busselton,96,AU,1619395588,99,-33.65,115.3333,55.0,1.01
avarua,75,CK,1619395685,78,-21.2078,-159.775,82.4,10.36
ales,0,FR,1619395686,71,44.1333,4.0833,52.0,3.44
fort-shevchenko,99,KZ,1619395716,85,44.5086,50.263,54.97,19.46
hermanus,87,ZA,1619395717,91,-34.4187,19.2345,61.0,1.01
cape town,75,ZA,1619395447,94,-33.9258,18.4232,63.0,4.61
mahebourg,75,MU,1619395717,88,-20.4081,57.7,77.0,14.97
hithadhoo,69,MV,1619395718,68,-0.6,73.0833,82.53,5.01
saint-philippe,0,RE,1619395719,73,-21.3585,55.7679,77.0,17.27
bengkulu,33,ID,1619395719,85,-3.8004,102.2655,76.35,4.41
saldanha,81,ZA,1619395464,94,-33.0117,17.9442,60.8,6.91
phangnga,40,TH,1619395720,94,8.4509,98.5298,82.0,2.3
canberra,0,AU,1619395541,76,-35.2835,149.1281,53.01,3.44
booue,89,GA,1619395720,89,-0.0921,11.9385,75.97,1.68
saint george,90,BM,1619395721,88,32.3817,-64.6781,70.0,20.71
meulaboh,92,ID,1619395636,84,4.1363,96.1285,77.02,2.37
makakilo city,90,US,1619395721,51,21.3469,-158.0858,82.4,6.91
port hardy,75,CA,1619395606,76,50.6996,-127.4199,51.8,3.44
new norfolk,98,AU,1619395722,75,-42.7826,147.0587,63.0,3
anchorage,1,US,1619395723,30,61.2181,-149.9003,57.2,9.22
